MeSH,PMID,abstract,title,drug
"['Administration, Buccal', 'Administration, Sublingual', 'Adult', 'Aged', 'Aged, 80 and over', 'Angina Pectoris', 'drug therapy', 'prevention & control', 'Female', 'Humans', 'Male', 'Middle Aged', 'Nitroglycerin', 'administration & dosage', 'adverse effects', 'Random Allocation']",3117554,"buccal (suscard) was compared with sublingual nitroglycerin (nitromex) in 126 patients with stable angina pectoris. following a dose adjustment period they were randomized to cross over treatment, two weeks on sublingual and buccal nitroglycerin, respectively. the dosage of buccal nitroglycerin was 2.5 mg in 49% and 5.0 mg in 51%. the total number of treated acute anginal attacks was 31% less during the buccal compared to the sublingual nitroglycerin period (p less than 0.001) despite a reported physical activity level which was significantly higher during the buccal nitroglycerin period. the use of sublingual nitroglycerin and buccal nitroglycerin was considered equally simple by 67%, sublingual nitroglycerin easier by 19% and buccal nitroglycerin easier by 14% of the patients. sublingual nitroglycerin was used prophylactically on 806 occasions and buccal nitroglycerin on 929 occasions (p less than 0.05) with success in 66% of the sublingual nitroglycerin attempts and 74% of the buccal nitroglycerin attempts (p less than 0.05). considering only prophylactic use, buccal nitroglycerin was preferred by 81% and sublingual nitroglycerin by 4% (p less than 0.05). when given the opportunity only to select one of the two nitroglycerin formulations, 65% (p less than 0.05) preferred buccal nitroglycerin and 19% sublingual nitroglycerin. in conclusion, buccal nitroglycerin seems to be more efficacious than sublingual nitroglycerin. the explanation is probably that the two formulations are comparable in the treatment of acute anginal attacks, while buccal nitroglycerin has a more pronounced prophylactic effect due to its longer duration of action.",Buccal versus sublingual nitroglycerin administration in the treatment of angina pectoris: a multicentre study.,nitroglycerin
"['Administration, Cutaneous', 'Administration, Sublingual', 'Aged', 'Angina Pectoris', 'drug therapy', 'Coronary Vessels', 'drug effects', 'Drug Tolerance', 'Female', 'Hemodynamics', 'drug effects', 'Humans', 'Male', 'Middle Aged', 'Nitroglycerin', 'administration & dosage', 'pharmacology', 'therapeutic use', 'Vasodilation', 'drug effects']",1914267,"the systemic hemodynamic and coronary dilative responses to sublingual nitroglycerin were studied in patients receiving transdermal nitroglycerin. a total of 48 patients with coronary artery disease were divided into 4 groups: 12 patients receiving 1 tablet of sublingual nitroglycerin without transdermal nitroglycerin (group 1), 12 patients receiving 1 tablet of sublingual nitroglycerin with 12 hour daily intermittent therapy of transdermal nitroglycerin (group 2), 12 patients receiving 1 tablet of sublingual nitroglycerin with continuous therapy of transdermal nitroglycerin with continuous therapy of transdermal nitroglycerin (group 3), and 12 patients receiving 2 tablets of sublingual nitroglycerin with continuous therapy of transdermal nitroglycerin (group 4). before and during administration of sublingual nitroglycerin, aortic pressure, left ventricular pressure, and coronary artery diameter were examined at diagnostic cardiac catheterization in all patients. during sublingual nitroglycerin, the decreases of aortic systolic pressure and left ventricular end diastolic pressure were greater in group 1, 2, and 4 than in group 3. dilation of coronary arteries by sublingual nitroglycerin tended to be greater in group 1, 2, and 4 than in group 3. thus, the effects of sublingual nitroglycerin for the relief of ischemia might be more prominent in patients with intermittent therapy of transdermal nitroglycerin than in those with continuous therapy. the increased dose of sublingual nitroglycerin for the relief of ischemia might be more effective in patients with continuous therapy of transdermal nitroglycerin.",Effects of sublingual nitroglycerin in patients receiving transdermal nitroglycerin for coronary artery disease: prevention of cross-tolerance.,nitroglycerin
"['Diagnosis, Differential', 'Drug Hypersensitivity', 'diagnosis', 'etiology', 'Humans', 'Male', 'Middle Aged', 'Nitroglycerin', 'adverse effects', 'Skin Diseases', 'chemically induced', 'diagnosis', 'Skin Tests', 'Vasodilator Agents', 'adverse effects']",16913273,"allergic and nonallergic reactions to nitroglycerin occur. the aims of this study were to review the different manifestations of nitroglycerin allergy, to explain how to evaluate for it, and to discuss its treatment. we reviewed relevant literature in peer reviewed journals, computerized databases, and references identified from relevant bibliographics. nitroglycerin's most common side effects are headache, facial flushing, head throbbing, fainting, hypotension, tachycardia, and syncope. the majority of reported skin reactions to topical and transdermal nitroglycerin products are irritant contact dermatitis, allergic contact dermatitis, and urticaria. five cases of presumed allergic reactions to oral, sublingual, intravenous, or perianal nitroglycerin products have been described. patch testing may be helpful in subjects with skin reactions to topical or transdermal nitroglycerin. in subjects with positive patch tests to nitroglycerin (allergic contact dermatitis), transdermal nitroglycerin patches and other topical nitroglycerin products should be avoided. most patients with contact dermatitis to nitroglycerin have tolerated oral nitroglycerin, sublingual nitroglycerin, or oral isosorbide challenges.",Allergic and nonallergic reactions to nitroglycerin.,nitroglycerin
"['Acetylcysteine', 'administration & dosage', 'pharmacology', 'Animals', 'Aorta, Thoracic', 'drug effects', 'Dose-Response Relationship, Drug', 'Drug Interactions', 'Drug Tolerance', 'In Vitro Techniques', 'Male', 'Nitroglycerin', 'administration & dosage', 'pharmacology', 'Rats', 'Rats, Inbred Strains', 'Vasodilation', 'drug effects']",2515322,"the efficacy of n acetylcysteine in reversing nitrate tolerance has been controversial. this study examined whether continuous administration of n acetylcysteine, a sulfhydryl compound, can prevent the development of tolerance to nitroglycerin; its acute effects on developed tolerance were also assessed. rats were treated with subcutaneous injections of 1) 100 mg/kg nitroglycerin, 2) 100 mg/kg nitroglycerin and 700 mg/kg n acetylcysteine, 3 times a day for 3 days. the sensitivity to nitroglycerin was studied in aortic preparations. the degree of developed tolerance to nitroglycerin was partially inhibited by simultaneous injection of n acetylcysteine. subsequent in vitro preincubation of aortic strips with nitroglycerin (10( 5) m) reduced the subsequent nitroglycerin sensitivity of vessels from rats treated with nitroglycerin and n acetylcysteine; sensitivity returned to the initial control level after in vitro preincubation with n acetylcysteine. the nitroglycerin sensitivity of vessels from rats treated only with nitroglycerin, though, was not affected by in vitro preincubation with n acetylcysteine. in conclusion, n acetylcysteine is not effective in reversing the high degree of tolerance developed to nitroglycerin. however, continuous administration of n acetylcysteine is effective in preventing the development of nitroglycerin tolerance.",Inhibition of development of tolerance to nitroglycerin by preventive administration of N-acetylcysteine in rats.,nitroglycerin
"['Animals', 'Cardiac Output', 'drug effects', 'Drug Interactions', 'Infusions, Intravenous', 'Metabolic Clearance Rate', 'Nitroglycerin', 'administration & dosage', 'blood', 'pharmacokinetics', 'Rats', 'Rats, Inbred Strains', 'Vasopressins', 'pharmacology']",3137071,"we tested the hypothesis that the pharmacokinetics of nitroglycerin might be governed by haemodynamics, viz: cardiac output. the steady state pharmacokinetics of nitroglycerin, both in arterial and in venous plasma, were investigated in 11 rats after sequential infusions either of nitroglycerin alone (10 micrograms kg 1 min 1) or of nitroglycerin plus vasopressin (the latter at 5.5 mu kg 1 min 1). cardiac output was estimated twice in each animal using 85sr and 141ce microspheres. nitroglycerin systemic clearance in arterial plasma was found to be correlated strongly with cardiac output (r = 0.784, n = 22, p less than 0.001). using the distribution ratio of nitroglycerin between red blood cells and plasma, we determined the systemic clearance of nitroglycerin in arterial blood to be about 3/4 of cardiac output. vasopressin co infusion decreased both the cardiac output and the arterial nitroglycerin clearance, but it also increased the arteriovenous extraction of nitroglycerin. thus, vasopressin had no net effect on the venous plasma clearance of nitroglycerin. in animals infused with nitroglycerin alone, cardiac output also significantly correlated with nitroglycerin venous plasma clearance (p less than 0.01) and arteriovenous extraction (p less than 0.05). these data indicate that haemodynamic alterations may have profound effects on the observed plasma concentrations of nitroglycerin. these parameters need to be standardized and controlled if meaningful plasma concentrations of organic nitrates are to be obtained and interpreted.",Interpretation of nitrate plasma concentrations. Effect of cardiac output on nitroglycerin pharmacokinetics in experimental animals.,nitroglycerin
"['Animals', 'Blood Pressure', 'drug effects', 'Calcitonin Gene-Related Peptide', 'pharmacology', 'physiology', 'Dose-Response Relationship, Drug', 'Drug Tolerance', 'Injections, Intravenous', 'Male', 'Nitric Oxide', 'blood', 'Nitroglycerin', 'pharmacology', 'Rats', 'Rats, Wistar', 'Vasodilator Agents', 'pharmacology']",11557266,"previous studies have shown that the depressor effect of nitroglycerin is related to stimulation of endogenous calcitonin gene related peptide (cgrp) release. in the present study, we explored whether endogenous cgrp is involved in the development of tolerance to nitroglycerin in the rat. tolerance was induced by treatment with nitroglycerin (10 mg/kg, subcutaneous [s.c.]) three times a day for 8 days and confirmed by a reduction in hypotensive responses to intravenous (i.v.) nitroglycerin. nitroglycerin (30 or 150 microg/kg, i.v.) significantly decreased blood pressure concomitantly with an increase in plasma concentration of nitric oxide (no) and cgrp, and these effects of nitroglycerin disappeared after pretreatment with nitroglycerin for 8 days. however, the nitroglycerin induced depressor effect and elevation of no and cgrp content were restored, partially or completely, 4 or 8 days after nitroglycerin removal in the tolerant rat. the present study suggests that the development of tolerance to nitroglycerin is related to the decreased release of cgrp in the rat.",Involvement of calcitonin gene-related peptide in the development of tolerance to nitroglycerin in the rat.,nitroglycerin
"['Adhesives', 'analysis', 'Administration, Cutaneous', 'Aluminum', 'chemistry', 'Chromatography, High Pressure Liquid', 'Diffusion', 'Drug Delivery Systems', 'Drug Stability', 'Nitroglycerin', 'administration & dosage', 'analysis', 'chemistry', 'Polyesters', 'analysis', 'Spectrophotometry, Infrared']",9502161,the apparent loss of nitroglycerin in a prototype transdermal nitroglycerin system was investigated by attenuated total reflectance infrared (atr ir) microspectroscopy and high performance liquid chromatography (hplc). several transdermal nitroglycerin lots placed under controlled storage conditions exhibited loss of drug potency (up to 10%) along with the appearance of a defect in the polymer film laminate facestock. a significant loss of nitroglycerin from the transdermal drug/adhesive matrix may reduce the bioavailabilty of nitroglycerin to the patient. atr ir analysis confirmed that nitroglycerin migrated from the drug/adhesive matrix to the facestock polyester layer under storage conditions and that nitroglycerin was retained in the facestock polyester layer. an alternate sample extraction solution successfully removed the nitroglycerin from both the adhesive matrix and facestock polyester layer with nearly 100% labeled strength recovered. the relationship between the migration of nitroglycerin into the facestock polyester layer and the appearance of the defect in the facestock aluminum layer is discussed and a nitroglycerin aluminum metal reaction mechanism is proposed.,Drug migration from the adhesive matrix to the polymer film laminate facestock in a transdermal nitroglycerin system.,nitroglycerin
"['Acetylcysteine', 'pharmacology', 'Animals', 'Dogs', 'Drug Interactions', 'Drug Tolerance', 'In Vitro Techniques', 'Muscle Contraction', 'drug effects', 'Muscle Relaxation', 'drug effects', 'Muscle, Smooth, Vascular', 'drug effects', 'Nitroglycerin', 'pharmacology']",2438507,"the mechanism whereby nitroglycerin initiates relaxation in vascular smooth muscle remains unclear. one hypothesis states that nitroglycerin oxidizes critical sulfhydryl groups in smooth muscle to initiate relaxation, and that repeated exposure to nitroglycerin results in tolerance. in the current study, n acetylcysteine, a sulfhydryl reducing agent, was used to explore the sulfhydryl hypothesis by assessing whether or not tolerance to nitroglycerin was reversed by n acetylcysteine in canine dorsal pedal artery rings. two nitroglycerin dose response curves were performed (n = 18)  one before (1st dose response curve, from 10( 9) to 1.1 x 10( 5) m nitroglycerin) and one after (2nd dose response curve, from 10( 9) to 5 x 10( 7) m nitroglycerin) incubation with 10( 5) m nitroglycerin for 105 min. at 5 x 10( 7) m nitroglycerin there was 50.7 +/  10.0% relaxation during the first dose response curve. during the second dose response curve, tolerance to nitroglycerin was evident, as demonstrated by a 6.8 +/  4.8% relaxation (p less than 0.001) at 5 x 10( 7) m nitroglycerin. a 10 min treatment with 10( 3) m n acetylcysteine (n = 10) during the second nitroglycerin dose response curve was performed after the 5 x 10( 7) m concentration of nitroglycerin; the second dose response curve was then completed up to 1.1 x 10( 5) m nitroglycerin. the dose of 10( 3) m n acetylcysteine was chosen since higher concentrations (i.e., 1.3 x 10( 2) and 1.2 x 10( 1) m n acetylcysteine) produced 20.3 +/  8.4 and 43.6 +/  11.6% relaxation in vascular rings (n = 5).(abstract truncated at 250 words)",N-acetylcysteine does not modify nitroglycerin-induced tolerance in canine vascular rings.,nitroglycerin
"['Administration, Topical', 'Adult', 'Blood Pressure', 'drug effects', 'Gels', 'Hemodynamics', 'drug effects', 'Humans', 'Male', 'Nitroglycerin', 'administration & dosage', 'adverse effects', 'blood', 'Polymers', 'Time Factors']",6177952,"a new topical dosage form of nitroglycerin has been developed in which nitroglycerin and its vehicle are incorporated in a polymer gel matrix of fixed dimension. venous plasma nitroglycerin concentrations were measured for 24 h after application of nitroglycerin polymer gel systems measuring 10 cm and containing 2% nitroglycerin (wt/wt) to 10 normal male volunteers. five of these subjects were subsequently tested with 20 cm2 gel systems of similar composition. with the 10 cm2 nitroglycerin polymer gel system, venous plasma nitroglycerin concentrations were 0.83 +/  0.26 ng/ml ast 4 h and 0.89 +/  0.23 ng/ml at 24 h. for the 20 cm2 system, venous plasma nitroglycerin concentrations were 1.83 +/  0.55 ng/ml at 8 h and 1.81 +/  0.13 ng/ml at 24 h. the only adverse effect noted was headache, which affected all the subjects tested with the 20 cm2 appliance. the plasma nitroglycerin concentrations obtained with the polymer gel system appear to be in a clinically useful range; thus this new form of topical nitroglycerin should be of benefit to patients in whom sustained plasma nitroglycerin concentrations are desirable, e.g., those patients with chronic congestive heart failure and angina on awakening.",The nitroglycerin polymer gel matrix system: a new method for administering nitroglycerin evaluated with plasma nitroglycerin levels.,nitroglycerin
"['Angiotensin-Converting Enzyme Inhibitors', 'pharmacology', 'therapeutic use', 'Animals', 'Coronary Circulation', 'drug effects', 'Coronary Vessels', 'drug effects', 'Dogs', 'Drug Tolerance', 'Enalapril', 'pharmacology', 'therapeutic use', 'Female', 'Hemodynamics', 'drug effects', 'Male', 'Nitroglycerin', 'administration & dosage', 'therapeutic use', 'toxicity', 'Renin', 'blood', 'Substance Withdrawal Syndrome', 'prevention & control', 'Vasoconstriction', 'drug effects']",8640982,"rebound myocardial ischemia develops in patients with unstable or stable angina pectoris after sudden cessation of nitroglycerin therapy. long term nitroglycerin infusion is associated with increases in plasma renin activity and catecholamine release rates, both of which may lead to excess angiotensin ii and alpha adrenergic mediated vasoconstriction, particularly on withdrawal of nitroglycerin.
chronically instrumented dogs were treated for 5 days with nitroglycerin (1.5 micrograms.kg 1.min 1 i.v.) alone or in combination with the angiotensin converting enzyme (ace) inhibitor enalapril (0.1 mg/kg two times daily or 1 mg/kg). with long term nitroglycerin therapy, the left anterior circumflex artery was maximally dilated 4 hours after the start of nitroglycerin infusion (9.5 +/  0.6%) and returned to baseline levels within the third day of treatment (baseline, 2.52 +/  0.07 mm; day 3, 2.55 +/  0.07 mm; p = ns), indicating a complete loss of nitroglycerin induced coronary vasodilatation. nitroglycerin infusion also was accompanied by a transient increase in plasma renin activity. sudden withdrawal of nitroglycerin infusion caused a progressive constriction of the left anterior circumflex artery, which peaked 4 hours after nitroglycerin infusion cessation ( 7.8 +/  0.2%). this occurred in the absence of elevated plasma renin activity. concomitant treatment with high dose enalapril (1 mg.kg 1.d 1) markedly reduced the degree of tolerance and prevented the rebound constriction on cessation of nitroglycerin therapy.
long term ace inhibition with high dose enalapril reduces nitroglycerin tolerance and prevents rebound vasoconstriction in coronary arteries. these phenomena were not associated with an activated circulating renin angiotensin system. this observation suggests that during long term nitroglycerin treatment, intrinsic abnormalities of the vascular smooth muscle may have developed that are suppressed by concomitant ace inhibitor therapy. the present study also favors a combination of nitroglycerin and ace inhibitors to maintain nitrate sensitivity of the vasculature during long term nitroglycerin treatment.",Long-term angiotensin-converting enzyme inhibition with high-dose enalapril retards nitrate tolerance in large epicardial arteries and prevents rebound coronary vasoconstriction in vivo.,nitroglycerin
"['Animals', 'Cells, Cultured', 'Cytosol', 'metabolism', 'Electron Spin Resonance Spectroscopy', 'Erythrocytes', 'metabolism', 'Free Radicals', 'Humans', 'Kinetics', 'Liver', 'metabolism', 'Male', 'Microsomes, Liver', 'enzymology', 'Mitochondria, Liver', 'metabolism', 'NADPH-Ferrihemoprotein Reductase', 'metabolism', 'Nitroprusside', 'metabolism', 'Oxidation-Reduction', 'Rats', 'Rats, Inbred Strains']",1654781,"the metabolism of nitroprusside by hepatocytes or subcellular fractions involves a one electron reduction of nitroprusside to the corresponding metal nitroxyl radical. thiol compounds also reduced nitroprusside to the metal nitroxyl radical apparently via a thiol adduct. the nitroprusside reduction by microsomes was shown to be due to cytochrome p450 reductase as an antibody to cytochrome p450 reductase inhibits the microsomal reduction of nitroprusside, and the inhibitors of cytochrome p450 such as carbon monoxide or metyrapone had no effect. the reduction of nitroprusside by mitochondria in the presence of nadh or nadph also produced the metal nitroxyl radical. in hepatocytes, both mitochondria and the cytochrome p450 reductase are involved in the reduction of nitroprusside. the reductive metabolism of nitroprusside was found to produce toxic by products, namely, free cyanide anion and hydrogen peroxide. we have also detected thiyl radicals formed in the thiol compound reduction of np. we propose that cyanide and hydrogen peroxide are important toxic species formed in the metabolism of nitroprusside. the rate of reductive metabolism of nitroprusside by rat hepatocytes was much higher than with human erythrocytes. therefore the major site of nitroprusside metabolism in vivo may be liver and not blood as originally proposed.",Reductive metabolism of nitroprusside in rat hepatocytes and human erythrocytes.,nitroprusside
"['Adenosine Diphosphate', 'pharmacology', 'Blood Platelets', 'drug effects', 'Cell Degranulation', 'drug effects', 'Epinephrine', 'pharmacology', 'Humans', 'In Vitro Techniques', 'Nitric Oxide', 'pharmacology', 'Nitroprusside', 'pharmacology', 'P-Selectin', 'metabolism', 'Platelet Aggregation', 'drug effects', 'Time Factors', 'Vasodilator Agents', 'pharmacology']",8533905,"the time course and reversibility of sodium nitroprusside's in vivo inhibition of platelet function are unclear.
platelet aggregation and p selectin expression as measures of platelet dense and alpha granule release, respectively, were examined before and after administration of sodium nitroprusside (18 mg) to human volunteers and in in vitro studies. hypotension occurring with sodium nitroprusside administration was treated with intravenous crystalloid and/or phenylephrine.
compared with preinfusion studies, platelet aggregation to epinephrine was significantly inhibited immediately and 4 min after discontinuation of the sodium nitroprusside infusion but returned to baseline at 8 and 12 min after discontinuing sodium nitroprusside. however, both dense and alpha granule release to adenosine diphosphate after in vivo sodium nitroprusside were never significantly inhibited even at the time when sodium nitroprusside infusion was maximal. in contrast to our in vivo findings, in vitro incubation of platelet rich plasma with sodium nitroprusside resulted in significant inhibition of dense and alpha granule release to adenosine diphosphate. these in vitro inhibitory effects of sodium nitroprusside were reversed by pretreatment with epinephrine but not phenylephrine.
in normal volunteers, sodium nitroprusside inhibits platelet aggregation to epinephrine but not adenosine diphosphate; inhibition was reversed within 8 12 min after discontinuing sodium nitroprusside. sodium nitroprusside in vitro inhibition of platelet function to adenosine diphosphate was reversed by epinephrine pretreatment. because of the rapid reversibility of its antiplatelet effect, sodium nitroprusside may be clinically useful even when there is the potential for impaired coagulation.",Nitroprusside inhibition of platelet function is transient and reversible by catecholamine priming.,nitroprusside
"['Adult', 'Diltiazem', 'administration & dosage', 'Female', 'Hemodynamics', 'drug effects', 'physiology', 'Humans', 'Hypotension, Controlled', 'Male', 'Nitroprusside', 'administration & dosage', 'Scoliosis', 'surgery', 'Spinal Fusion', 'methods']",8346832,"the efficacy of diltiazem, a calcium channel blocker, for reducing the dose requirement for nitroprusside induced hypotension was studied in 20 healthy patients during spine fusion for scoliosis. anesthesia included methohexital (3 mg/kg followed by 3 mg.kg 1.h 1 intravenously), nitrous oxide, and alfentanil (40 micrograms/kg, followed by 0.7 microgram.kg 1.min 1 intravenously). patients were assigned randomly to two groups, receiving either nitroprusside alone or nitroprusside and diltiazem (bolus of 80 micrograms/kg with two consecutive infusions of 4.5 micrograms.kg 1.min 1 during the first 30 min and then 1.3 micrograms.kg 1.min 1). nitroprusside was used to maintain mean arterial pressure at 55 60 mm hg in both groups. hypotension was obtained in similar times, 4 min in the group receiving nitroprusside alone (range, 1 8 min) and 2 min in the group receiving nitroprusside and diltiazem (range, 1 8 min). nitroprusside administration lasted 186 +/  17 min (mean +/  sem) in the group receiving nitroprusside alone and 214 +/  26 min (mean +/  sem) in the other group (ns). after hypotension, arterial blood pressure returned to its initial value in a time of 7 min in the group receiving nitroprusside alone (range, 5 9 min) and 9 min in the group receiving nitroprusside and diltiazem (range, 7 13 min) (ns). cumulative doses of nitroprusside were larger in the group receiving nitroprusside alone (0.47 +/  0.07 mg/kg; mean +/  sem) than in the other group (0.24 +/  0.05 mg/kg; mean +/  sem) (p < 0.01). significant increase in plasma thiocyanate concentration, cardiac index, and heart rate was observed only in the group receiving nitroprusside alone, but no intergroup differences were found.(abstract truncated at 250 words)",Diltiazem reduces the dose requirement for nitroprusside-induced hypotension.,nitroprusside
"['15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid', 'Aminoquinolines', 'pharmacology', 'Analysis of Variance', 'Animals', 'Bronchi', 'chemistry', 'drug effects', 'Cyclic GMP', 'analogs & derivatives', 'metabolism', 'pharmacology', 'Dose-Response Relationship, Drug', 'Guanylate Cyclase', 'antagonists & inhibitors', 'Guinea Pigs', 'Lung', 'chemistry', 'drug effects', 'Male', 'Muscle Relaxation', 'Muscle, Smooth', 'drug effects', 'Nitroprusside', 'pharmacology', 'Prostaglandin Endoperoxides, Synthetic', 'pharmacology', 'Sodium Nitrite', 'pharmacology', 'Thromboxane A2', 'analogs & derivatives', 'pharmacology', 'Vasoconstrictor Agents', 'pharmacology', 'Vasodilator Agents', 'pharmacology']",8583389,"the biochemical mechanism subserving smooth muscle relaxant effects of sodium nitroprusside was examined on u46619, 9,11 dideoxy 9 alpha,11 alpha methanoepoxy pgf2 alpha, precontracted guinea pig lung strips and hilar bronchial rings. lung strips were resistant to the relaxant action of sodium nitroprusside or sodium nitrite (nano2), whereas they markedly relaxed to 8 bromo cyclic gmp (8 br cgmp), a membrane permeable analogue of cgmp. precontracted bronchial rings completely relaxed to sodium nitroprusside, nano2, or 8 br cgmp in a concentration dependent manner. sodium nitroprusside (10 microm) substantially raised tissue cgmp level in lung strips. conversely, sodium nitroprusside had no detectable effect on cgmp levels in bronchial rings. in the presence of 10 microm dipyridamole, an agent which preferentially inhibits cgmp specific phosphodiesterase, cgmp levels in lung strips treated with sodium nitroprusside was significantly enhanced, but sodium nitroprusside demonstrated no relaxant effect on the preparations. however, dipyridamole potentiated sodium nitroprusside induced precontracted bronchial ring relaxation without affecting the bronchial tissue cgmp level. in the presence of 10 microm ly83583 (6 anilino 5,8 quinoline dione), a specific cgmp concentration lowering agent, sodium nitroprusside mediated elevation of cgmp level in lung strips was significantly reduced with no effect on the functional response. ly83583 demonstrated no inhibitory effect on either relaxation or cgmp level in bronchial rings treated with sodium nitroprusside. our results suggest that precontracted smooth muscle in lung strips and in hilar bronchi respond distinctly to sodium nitroprusside. furthermore, sodium nitroprusside mediates bronchial smooth muscle relaxation by mechanisms unrelated to cgmp.",Differential relaxant responses of guinea-pig lung strips and bronchial rings to sodium nitroprusside: a mechanism independent of cGMP formation.,nitroprusside
"['Animals', 'Cyanides', 'pharmacology', 'Dogs', 'Drug Interactions', 'Ferricyanides', 'pharmacology', 'Hydrogen-Ion Concentration', 'Muscle Denervation', 'Muscles', 'blood supply', 'drug effects', 'Nitroprusside', 'pharmacology', 'Vascular Resistance', 'drug effects']",22395,"in a laboratory preparation of the isolated, acutely denervated, and separately perfused canine gracilis muscle we have made the following observations: 1. at physiological ph, sodium nitroprusside significantly decreases the vascular resistance; 2. at physiological ph, cyanide significantly attenuates the effect of sodium nitroprusside; 3. in an acidaemic milieu, our data suggest that the effect of sodium nitroprusside may be attenuated. we speculate that patients who manifest resistance to the hypotensive effect of sodium nitroprusside may not normally eliminate the cyanide that is released from the biodegradation of sodium nitroprusside. they accumulate free cyanide which interferes with the action of sodium nitroprusside at the receptor level, leading to administration of more nitroprusside and setting in motion a positive feedback vicious cycle. when one is faced with the problem of an abnormal response to sodium nitroprusside in a fit patient, although many factors may be involved, we suggest that the possibility of rising blood cyanide levels and acidosis be given high priority.",Sodium nitroprusside: factors which attenuate its action. Studies with the isolated gracilis muscle of the dog.,nitroprusside
"['Animals', 'Cyanides', 'chemistry', 'metabolism', 'Endothelium, Vascular', 'metabolism', 'Hemeproteins', 'metabolism', 'Hydrogen-Ion Concentration', 'Luminescent Measurements', 'Male', 'Microsomes, Liver', 'metabolism', 'Nitric Oxide', 'metabolism', 'Nitroprusside', 'chemistry', 'metabolism', 'Oxidation-Reduction', 'Photochemistry', 'Rats', 'Rats, Inbred Strains', 'Temperature']",1768273,"nitric oxide (no) was produced from sodium nitroprusside in the presence of vascular tissue but was not released spontaneously from the nitroprusside anion. in the absence of tissue in the dark nitroprusside did not release no. when solutions of nitroprusside alone were irradiated with visible light, nitric oxide was released at rates linearly proportional to nitroprusside concentration and light intensity. nitric oxide was produced from solutions of nitroprusside in the dark after the addition of vascular tissue, including lengths of rabbit aorta, subcellular fractions of aorta, and human plasma. no was also released from nitroprusside after reaction with various reducing agents including cysteine and other thiols, ascorbic acid, sodium dithionite, ferrous chloride, hemoglobin, myoglobin, and partially purified cytochrome p450 with an nadph regenerating system. hcn was simultaneously produced in these solutions, and addition of kcn blocked no release. iodine oxidized intermediate cyanoferrates and blocked nitric oxide release. kcn or iodine also blocked no production by tissue, but had no effect upon photochemical no release. these results show that, apart from photolysis which makes no physiological contribution, release of nitric oxide from nitroprusside, in simple solutions and in biological tissue, occurs after nitroprusside has undergone reduction and lost cyanide.",Nitric oxide generation from nitroprusside by vascular tissue. Evidence that reduction of the nitroprusside anion and cyanide loss are required.,nitroprusside
"['Animals', 'Blood', 'drug effects', 'Carbon Dioxide', 'blood', 'Cyanides', 'metabolism', 'Disease Models, Animal', 'Female', 'Ferricyanides', 'adverse effects', 'Fetus', 'drug effects', 'physiology', 'Hydrogen-Ion Concentration', 'Maternal-Fetal Exchange', 'Nitroprusside', 'adverse effects', 'blood', 'Oxygen', 'blood', 'Pregnancy', 'Regional Blood Flow', 'drug effects', 'Sheep', 'Uterus', 'physiology']",6782882,"sodium nitroprusside, a direct acting vasodilator, has been used to treat the hypertension associated with preeclampsia and eclampsia. fatal cyanide intoxication has been reported during infusion of nitroprusside. we have investigated placental transfer and fetal toxicity of nitroprusside in the acute pregnant ewe model. a maternal intravenous infusion of nitroprusside solution was maintained at a rate sufficient to decrease mean maternal arterial pressure by 20% for 1 hour. maternal and fetal levels of nitroprusside were in equilibrium at the 20 minute sample. five of the eight animals exhibited tachyphylaxis to nitroprusside, and their fetuses died in utero with lethal levels of cyanide. no significant changes were observed in uterine blood flow.",Fetal toxicity of nitroprusside in the pregnant ewe.,nitroprusside
"['Animals', 'Blood Pressure', 'drug effects', 'Coronary Circulation', 'drug effects', 'Dogs', 'Epoprostenol', 'pharmacology', 'Ferricyanides', 'pharmacology', 'Heart Rate', 'drug effects', 'Hemodynamics', 'drug effects', 'Nitroprusside', 'pharmacology']",2465452,"in order to simulate physiologic conditions and eliminate the influence of anesthesia on the cardiovascular responses to prostacyclin (pgi2) and nitroprusside, hemodynamic parameters were monitored in conscious dogs prior to and during infusion of the two agents at equally hypotensive concentrations. heart rate was significantly increased with nitroprusside (p less than or equal to 0.05) and decreased with pgi2 (p less than or equal to 0.01), while mean ascending aortic blood flow or cardiac output increased (p less than or equal to 0.05) in response to both pgi2 and nitroprusside, more with nitroprusside than with pgi2 (p less than or equal to 0.05). stroke volume increased with pgi2 only (p less than or equal to 0.05 vs. control, p less than or equal to 0.05 vs. nitroprusside). both systemic and coronary (circumflex) vascular resistances decreased more with nitroprusside than with pgi2 (p less than or equal to 0.05); however, characteristic impedance (index of aortic elasticity) decreased similarly with pgi2 and nitroprusside. circumflex coronary blood flow increased (p less than or equal to 0.05) only with nitroprusside. these results indicate that in conscious dogs (a) nitroprusside causes a greater decrease in vascular (systemic and coronary) resistance compared to pgi2, but the effects of the two vasodilators on arterial distensibility are similar; (b) nitroprusside, but not pgi2, causes a marked increase in coronary blood flow; and (c) the major distinguishing hemodynamic response to these vasodilators relates to marked bradycardia with pgi2 and tachycardia with nitroprusside, which may account for the observed differences in aortic blood flow and stroke volume.",Systemic and coronary hemodynamic effects of prostacyclin and nitroprusside in conscious dogs.,nitroprusside
